Country Name,Country Code,Continent,SP.DYN.LE00.IN,EG.ELC.ACCS.ZS,NY.ADJ.NNTY.KD.ZG,NY.ADJ.NNTY.PC.KD.ZG,SH.HIV.INCD.14,SE.PRM.UNER,SE.PRM.CUAT.ZS,SE.TER.CUAT.BA.ZS,SP.DYN.IMRT.IN,SE.PRM.CMPT.ZS,SE.ADT.LITR.ZS,FR.INR.RINR,SP.POP.GROW,EN.POP.DNST,SP.POP.TOTL,SH.XPD.CHEX.PC.CD,SH.XPD.CHEX.GD.ZS,SL.UEM.TOTL.NE.ZS,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,SP.DYN.CBRT.IN,EG.FEC.RNEW.ZS,SH.HIV.INCD,SH.H2O.SMDW.ZS,SI.POV.LMIC,SE.COM.DURS
Afghanistan,AFG,Asia,64.833,97.7,NA,NA,200,NA,NA,NA,46.4,84.33058929,NA,NA,2.313073349,58.26939466,38041757,65.80603027,13.24220181,NA,3.911603419,494.1793499,31.802,NA,1300,26.79895584,NA,9
Albania,ALB,Europe,78.573,100,0.14647682,0.574018221,NA,3359,NA,NA,8.6,103.3227463,NA,4.993848494,-0.426007367,104.1675547,2854191,NA,NA,11.47000027,2.113419982,5395.659532,11.62,NA,100,70.66585365,NA,9
Algeria,DZA,Africa,76.88,99.5,2.938149243,0.966470011,200,12511,NA,NA,20,101.3646317,NA,8.507843738,1.933983344,18.07629545,43053054,248.2058716,6.24337101,NA,1,3989.668276,23.583,NA,1400,73.13974587,NA,10
American Samoa,ASM,Australia/Oceania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.269018786,276.56,55312,NA,NA,NA,-0.487804878,11715.36014,NA,NA,NA,98.36197279,NA,NA
Andorra,AND,Europe,NA,100,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,0.179041785,164.1404255,77146,2744.194336,6.71158504,NA,2.015547638,40897.33087,7,NA,NA,90.64000336,NA,10
Angola,AGO,Africa,61.147,45.67031479,1.122570483,-2.104144961,6200,NA,NA,NA,49.9,NA,NA,-6.866471588,3.242914028,25.52763215,31825299,71.32600403,2.53335953,NA,-0.624644318,2809.626088,40.232,NA,16000,NA,NA,6
Antigua and Barbuda,ATG,North America,77.016,100,NA,NA,NA,NA,NA,NA,5.6,NA,NA,8.385803171,0.861445784,220.7159091,97115,760.2649536,4.44295979,NA,4.862236166,17376.64968,15.107,NA,NA,NA,NA,11
Argentina,ARG,South America,76.667,100,-4.698899588,-5.640931522,100,18518,NA,NA,8.1,98.54724121,NA,10.82196248,0.993397493,16.42082662,44938712,945.9919434,9.5100708,9.840000153,-2.025934237,10056.63794,16.833,NA,5300,NA,4.9,14
Armenia,ARM,Asia,75.087,100,6.360384627,6.145091124,100,14928,NA,NA,10.2,93.13851929,NA,10.95957856,0.202624028,103.889287,2957728,523.9990845,11.33526421,18.29999924,7.599999999,4604.646324,13.646,NA,500,86.42296899,9.8,12
Aruba,ABW,North America,76.293,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.437414676,590.6111111,106310,NA,NA,NA,NA,NA,11.756,NA,NA,NA,NA,13
Australia,AUS,Australia/Oceania,82.9,100,NA,NA,NA,15542,NA,33.09477997,3.2,NA,NA,1.626603976,1.521653677,3.297670183,25365745,5427.462402,9.91078568,5.159999847,2.113149425,54875.28596,12.1,NA,1000,NA,NA,10
Austria,AUT,Europe,81.79268293,100,2.558767895,2.103728559,NA,187,NA,15.36363029,2.9,99.40850067,NA,NA,0.444673639,107.6093068,8879920,5242.183105,10.43403149,4.489999771,1.49121085,50114.40111,9.6,NA,NA,98.9026198,NA,13
